Data;CAMBIOREAL;CDS_5_ANOS;PASSEXTERNO;TOTL;VIXFINAL;DIVBRUTA;SWAPREAL;D0804;;projeções de cambio;;;;;;;;;;;
2022Q2;119,8448098;180;0,37;113;24;0,886;0,020656351;0;;119,8448098;;;;0,005164088;;148,59;5,5;;;;
2022Q3;109,9166942;180;0,37;112;24;0,886;0,022574044;0;;109,9166942;;;;0,005643511;;105;;;;;
2022Q4;122,8863201;180;0,37;110;24;0,886;0,024392606;0;;122,8863201;1,017523558;4,64;4,721309311;0,006098151;;;3,886533414;;;;
2023Q1;117,0246141;180;0,37;109;24;0,886;0,026098002;0;;117,0246141;;;;0,0065245;;;;;;;
2023Q2;119,6391801;180;0,37;108;24;0,886;0,027474161;0;;119,6391801;;;;0,00686854;;;;;;;
2023Q3;113,3216716;180;0,37;107;24;0,886;0,028526572;0;;113,3216716;;;;0,007131643;;;;;;;
2023Q4;108,5658365;180;0,37;105;24;0,886;0,029298026;0;;108,5658365;;;;0,007324507;;;;;;;
;105,7385829;180;0,37;104;24;0,886;0,029895482;0;;105,7385829;;;;0,007473871;;;;;;;
;104,4393987;180;0,37;103;;;0,030719965;0;;104,4393987;;;;0,007679991;;;;;;;
2024;104,0748087;180;0,37;102;;;0,031628849;0;;104,0748087;;;;0,007907212;;;;;;;
;;;;;;;;;;;;;;0,008462247;;;;;;;
;;;;;;;;;;;;;;0,009061796;;;;;;;
;;;;;;0,722892329;0,030719965;;;;;;;0,009709187;;;;;;;
;;;;;;5,21;3,766269036;;;;;;;;;;;;;;
;;;;;;;1,443730964;;;;;;;;;;;;;;
